UniteM Bin ID	Contig ID	No. Matched Bins	No. Unmatched Bins	No. Degenerate Bins	No. Unbinned	maxbin_ms107	maxbin_ms40	metabat2	metabat_specific	metabat_superspecific	metabat_verysensitive
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_338	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2207	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2545	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_1501	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2592	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2789	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_3101	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_1293	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_482	1	3	1	1	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unbinned	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_711	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2521	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_753	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_1048	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2997	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_1742	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_1128	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_1738	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2403	1	4	1	0	degenerate,max107.004,100.0,11.0	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2715	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2328	1	4	1	0	degenerate,max107.004,100.0,11.0	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2965	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2107	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_530	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_901	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2047	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_1061	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
